user_pseudo_id,ga_session_id,user_session_key,week_start_date,data_split,candidate_output_type,intervention_group,candidate_output_label,within_group_priority_rank,within_group_priority_score,within_group_priority_band,within_group_priority_band_label,priority_score_scope,candidate_score_used,candidate_ranking_score,purchase_likelihood_score,raw_purchase_model_score,priority_rule,model_name_used,suggested_action,device_category,geo_country,channel_source,channel_medium,channel_segment,channel_segment_raw,channel_segment_clean,last_observed_funnel_stage,dropoff_after_stage,reached_view_item,reached_add_to_cart,reached_begin_checkout,reached_add_shipping_info,reached_add_payment_info,y_purchase,purchase_likelihood_rank,purchase_likelihood_percentile_within_split,ga_session_number,n_events,session_duration_seconds,engagement_time_msec_sum,n_item_rows,n_distinct_item_id,n_distinct_item_category,avg_item_price,max_item_price,qty_sum,model_ranking_score,global_purchase_likelihood_percentile,is_non_monotonic_funnel_path,is_monotonic_funnel_path
73326907.7205265567,1151441401,73326907.7205265567-1151441401,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,1,1.0,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.4697203052705776,0.002509234543088853,0.4697203052705776,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",desktop,Colombia,google,organic,google / organic,google / organic,Google organic traffic,view_item,after_view_item,1,0,0,0,0,0,6855,0.9836382962569281,1,45,261.171439,179378,17,14,3,21.375,40.0,17,0.4697203052705776,0.9836382962569281,0,1
5722177.1023903240,7703691112,5722177.1023903240-7703691112,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,2,0.9795918367346939,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.38015726023245916,5.023667840197378e-05,0.38015726023245916,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",mobile,United States,analytics.google.com,referral,analytics.google.com / referral,analytics.google.com / referral,Google Analytics referral traffic,view_item,after_view_item,1,0,0,0,0,0,7207,0.9812087161187457,1,10,52.772737,24845,0,0,0,0.0,0.0,0,0.38015726023245916,0.9812087161187457,0,1
79377645.4085538345,778167866,79377645.4085538345-778167866,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,3,0.9591836734693877,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.38015726023245916,5.023667840197378e-05,0.38015726023245916,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",mobile,United States,analytics.google.com,referral,analytics.google.com / referral,analytics.google.com / referral,Google Analytics referral traffic,view_item,after_view_item,1,0,0,0,0,0,7206,0.9811707539290866,4,10,260.887952,12383,13,13,2,24.166666666666664,35.0,13,0.38015726023245916,0.9811707539290866,0,1
7897972.0197469890,8704745881,7897972.0197469890-8704745881,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,4,0.9387755102040817,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.38015726023245916,5.023667840197378e-05,0.38015726023245916,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",mobile,South Korea,analytics.google.com,referral,analytics.google.com / referral,analytics.google.com / referral,Google Analytics referral traffic,view_item,after_view_item,1,0,0,0,0,0,7231,0.9821198086705641,1,10,286.298488,88832,8,7,1,22.625,60.0,8,0.38015726023245916,0.9821198086705641,0,1
2246152.0056487466,6189741645,2246152.0056487466-6189741645,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,5,0.9183673469387755,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.38015726023245916,5.023667840197378e-05,0.38015726023245916,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",desktop,United States,analytics.google.com,referral,analytics.google.com / referral,analytics.google.com / referral,Google Analytics referral traffic,view_item,after_view_item,1,0,0,0,0,0,7210,0.981322602687723,1,10,655.705641,26000,0,0,0,0.0,0.0,0,0.38015726023245916,0.981322602687723,0,1
6608789.7434285737,8141642966,6608789.7434285737-8141642966,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,6,0.8979591836734694,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.36910205736231594,3.099136093204896e-05,0.36910205736231594,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",desktop,Bangladesh,<Other>,referral,<Other> / referral,<Other> / referral,Other referral traffic,view_item,after_view_item,1,0,0,0,0,0,327201,0.6105079340976387,1,15,132.435035,9252,37,14,3,45.416666666666664,69.0,37,0.36910205736231594,0.6105079340976387,0,1
13608413.2557098821,2894567717,13608413.2557098821-2894567717,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,7,0.8775510204081632,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.36910205736231594,3.099136093204896e-05,0.36910205736231594,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",mobile,United States,google,organic,google / organic,google / organic,Google organic traffic,view_item,after_view_item,1,0,0,0,0,0,327198,0.6103940475286614,1,6,5.864166,3402,0,0,0,0.0,0.0,0,0.36910205736231594,0.6103940475286614,0,1
72768264.0874333299,1545907128,72768264.0874333299-1545907128,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,8,0.8571428571428572,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.36910205736231594,3.099136093204896e-05,0.36910205736231594,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",desktop,United States,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,shop.googlemerchandisestore.com / referral,Google Merch Store referral traffic,view_item,after_view_item,1,0,0,0,0,0,327191,0.6101283122010478,1,35,2394.316336,75160,26,12,2,19.26086956521739,30.0,26,0.36910205736231594,0.6101283122010478,0,1
54626561.4098859342,9688161840,54626561.4098859342-9688161840,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,9,0.8367346938775511,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.36910205736231594,3.099136093204896e-05,0.36910205736231594,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",tablet,United States,creatoracademy.youtube.com,referral,creatoracademy.youtube.com / referral,creatoracademy.youtube.com / referral,YouTube Creator Academy referral traffic,view_item,after_view_item,1,0,0,0,0,0,327184,0.609862576873434,1,22,218.68447,137312,36,11,1,40.72222222222222,69.0,36,0.36910205736231594,0.609862576873434,0,1
1281034.1055760011,6723488271,1281034.1055760011-6723488271,2021-01-25,test,browse_intervention,Browse drop-off review,Browse drop-off review,10,0.8163265306122449,very_high,Very high within group,within_intervention_group_percentile,model_ranking_score,0.36910205736231594,3.099136093204896e-05,0.36910205736231594,top_50_browse_intervention_by_model_ranking_score,LightGBM calibrated likelihood,"Review product detail page relevance, product information, price clarity or add-to-cart call-to-action.",mobile,Singapore,<Other>,referral,<Other> / referral,<Other> / referral,Other referral traffic,view_item,after_view_item,1,0,0,0,0,0,327181,0.6097486903044568,11,30,397.785408,308619,49,12,2,27.083333333333332,69.0,49,0.36910205736231594,0.6097486903044568,0,1
