split,data_split,model,cutoff_label,cutoff_type,cutoff_value,n_obs,n_positive,prevalence,k_n,positives_captured_n,precision_at_k,recall_at_k,lift_at_k,model_display_name
validation,validation,logistic_regression,top_1pct,share,0.01,27478,375,0.013647281461532863,275,213,0.7745454545454545,0.568,56.75456,Logistic regression baseline
validation,validation,logistic_regression,top_2pct,share,0.02,27478,375,0.013647281461532863,550,375,0.6818181818181818,1.0,49.959999999999994,Logistic regression baseline
validation,validation,logistic_regression,top_5pct,share,0.05,27478,375,0.013647281461532863,1374,375,0.27292576419213976,1.0,19.99854439592431,Logistic regression baseline
validation,validation,logistic_regression,top_100,count,100.0,27478,375,0.013647281461532863,100,76,0.76,0.20266666666666666,55.68874666666667,Logistic regression baseline
validation,validation,logistic_regression,top_250,count,250.0,27478,375,0.013647281461532863,250,195,0.78,0.52,57.15424,Logistic regression baseline
validation,validation,lightgbm_raw,top_1pct,share,0.01,27478,375,0.013647281461532863,275,222,0.8072727272727273,0.592,59.15264,LightGBM raw score
validation,validation,lightgbm_raw,top_2pct,share,0.02,27478,375,0.013647281461532863,550,375,0.6818181818181818,1.0,49.959999999999994,LightGBM raw score
validation,validation,lightgbm_raw,top_5pct,share,0.05,27478,375,0.013647281461532863,1374,375,0.27292576419213976,1.0,19.99854439592431,LightGBM raw score
validation,validation,lightgbm_raw,top_100,count,100.0,27478,375,0.013647281461532863,100,79,0.79,0.21066666666666667,57.886986666666665,LightGBM raw score
validation,validation,lightgbm_raw,top_250,count,250.0,27478,375,0.013647281461532863,250,202,0.808,0.5386666666666666,59.20593066666667,LightGBM raw score
validation,validation,lightgbm_calibrated,top_1pct,share,0.01,27478,375,0.013647281461532863,275,222,0.8072727272727273,0.592,59.15264,LightGBM calibrated likelihood
validation,validation,lightgbm_calibrated,top_2pct,share,0.02,27478,375,0.013647281461532863,550,375,0.6818181818181818,1.0,49.959999999999994,LightGBM calibrated likelihood
validation,validation,lightgbm_calibrated,top_5pct,share,0.05,27478,375,0.013647281461532863,1374,375,0.27292576419213976,1.0,19.99854439592431,LightGBM calibrated likelihood
validation,validation,lightgbm_calibrated,top_100,count,100.0,27478,375,0.013647281461532863,100,79,0.79,0.21066666666666667,57.886986666666665,LightGBM calibrated likelihood
validation,validation,lightgbm_calibrated,top_250,count,250.0,27478,375,0.013647281461532863,250,202,0.808,0.5386666666666666,59.20593066666667,LightGBM calibrated likelihood
test,test,logistic_regression,top_1pct,share,0.01,26342,310,0.011768278794320856,264,211,0.7992424242424242,0.6806451612903226,67.91498044965788,Logistic regression baseline
test,test,logistic_regression,top_2pct,share,0.02,26342,310,0.011768278794320856,527,310,0.5882352941176471,1.0,49.98481973434536,Logistic regression baseline
test,test,logistic_regression,top_5pct,share,0.05,26342,310,0.011768278794320856,1318,310,0.23520485584218512,1.0,19.986342943854325,Logistic regression baseline
test,test,logistic_regression,top_100,count,100.0,26342,310,0.011768278794320856,100,82,0.82,0.2645161290322581,69.67883870967742,Logistic regression baseline
test,test,logistic_regression,top_250,count,250.0,26342,310,0.011768278794320856,250,201,0.804,0.6483870967741936,68.31925161290323,Logistic regression baseline
test,test,lightgbm_raw,top_1pct,share,0.01,26342,310,0.011768278794320856,264,214,0.8106060606060606,0.6903225806451613,68.88059628543499,LightGBM raw score
test,test,lightgbm_raw,top_2pct,share,0.02,26342,310,0.011768278794320856,527,310,0.5882352941176471,1.0,49.98481973434536,LightGBM raw score
test,test,lightgbm_raw,top_5pct,share,0.05,26342,310,0.011768278794320856,1318,310,0.23520485584218512,1.0,19.986342943854325,LightGBM raw score
test,test,lightgbm_raw,top_100,count,100.0,26342,310,0.011768278794320856,100,85,0.85,0.27419354838709675,72.22806451612904,LightGBM raw score
test,test,lightgbm_raw,top_250,count,250.0,26342,310,0.011768278794320856,250,204,0.816,0.6580645161290323,69.33894193548387,LightGBM raw score
test,test,lightgbm_calibrated,top_1pct,share,0.01,26342,310,0.011768278794320856,264,214,0.8106060606060606,0.6903225806451613,68.88059628543499,LightGBM calibrated likelihood
test,test,lightgbm_calibrated,top_2pct,share,0.02,26342,310,0.011768278794320856,527,310,0.5882352941176471,1.0,49.98481973434536,LightGBM calibrated likelihood
test,test,lightgbm_calibrated,top_5pct,share,0.05,26342,310,0.011768278794320856,1318,310,0.23520485584218512,1.0,19.986342943854325,LightGBM calibrated likelihood
test,test,lightgbm_calibrated,top_100,count,100.0,26342,310,0.011768278794320856,100,85,0.85,0.27419354838709675,72.22806451612904,LightGBM calibrated likelihood
test,test,lightgbm_calibrated,top_250,count,250.0,26342,310,0.011768278794320856,250,204,0.816,0.6580645161290323,69.33894193548387,LightGBM calibrated likelihood
