week_start_date,issue_rank_within_week,issue_label,segment_type,segment_value_display,segment_value_clean,segment_value_raw,segment_value,step_from,step_to,earlier_step_sessions,later_step_sessions,current_step_conversion,baseline_step_conversion,conversion_gap,lost_next_step_sessions,estimated_lost_purchases,issue_score
2020-10-26,1,desktop: product view to cart drop-off,device_category,desktop,desktop,desktop,desktop,view_item,add_to_cart,303,0,0.0,0.00186219739292365,0.00186219739292365,0.5642458100558659,0.5642458100558659,1.0
2020-10-26,2,Google organic traffic: product view to cart drop-off,channel_segment,Google organic traffic,Google organic traffic,google / organic,google / organic,view_item,add_to_cart,174,0,0.0,0.00186219739292365,0.00186219739292365,0.3240223463687151,0.3240223463687151,0.6499999999999999
2020-11-02,1,Google organic traffic: shipping to payment drop-off,channel_segment,Google organic traffic,Google organic traffic,google / organic,google / organic,add_shipping_info,add_payment_info,332,124,0.37349397590361444,0.43827859569648925,0.06478461979287481,21.50849377123444,13.838798317926036,0.9624999999999999
2020-11-02,2,Direct traffic: shipping to payment drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_shipping_info,add_payment_info,112,36,0.32142857142857145,0.43827859569648925,0.1168500242679178,13.087202718006793,8.420448260422976,0.9124999999999999
2020-11-02,3,mobile: payment to purchase drop-off,device_category,mobile,mobile,mobile,mobile,add_payment_info,purchase,157,96,0.6114649681528662,0.6434108527131783,0.03194588456031211,5.015503875969003,5.015503875969003,0.7499999999999999
2020-11-09,1,Direct traffic: shipping to payment drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_shipping_info,add_payment_info,117,24,0.20512820512820512,0.5047984644913628,0.29967025936315766,35.061420345489445,22.72993220116331,1.0
2020-11-09,2,Google organic traffic: shipping to payment drop-off,channel_segment,Google organic traffic,Google organic traffic,google / organic,google / organic,add_shipping_info,add_payment_info,402,187,0.4651741293532338,0.5047984644913628,0.03962433513812896,15.928982725527845,10.326583858184403,0.8571428571428571
2020-11-09,3,Google organic traffic: payment to purchase drop-off,channel_segment,Google organic traffic,Google organic traffic,google / organic,google / organic,add_payment_info,purchase,187,114,0.6096256684491979,0.6482889733840305,0.03866330493483261,7.230038022813702,7.230038022813702,0.7142857142857143
2020-11-16,1,Direct traffic: shipping to payment drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_shipping_info,add_payment_info,120,31,0.25833333333333336,0.5372848948374761,0.27895156150414274,33.47418738049713,22.276416512999866,1.0
2020-11-16,2,Google paid search traffic: product view to cart drop-off,channel_segment,Google paid search traffic,Google paid search traffic,google / cpc,google / cpc,view_item,add_to_cart,205,8,0.03902439024390244,0.08004833106781453,0.04102394082391209,8.409907868901978,5.9345387603195086,0.7999999999999999
2020-11-16,3,Google organic traffic: product view to cart drop-off,channel_segment,Google organic traffic,Google organic traffic,google / organic,google / organic,view_item,add_to_cart,2153,156,0.07245703669298653,0.08004833106781453,0.007591294374828,16.344056789004696,11.533353281297654,0.7733333333333333
2020-11-23,1,Other channels: shipping to payment drop-off,channel_segment,Other channels,Other channels,<Other> / <Other>,<Other> / <Other>,add_shipping_info,add_payment_info,109,25,0.22935779816513763,0.5630383711824589,0.3336805730173213,36.37118245888802,26.051681455253593,1.0
2020-11-23,2,Direct traffic: shipping to payment drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_shipping_info,add_payment_info,151,49,0.32450331125827814,0.5630383711824589,0.23853505992418078,36.0187940485513,25.799275292077777,0.96
2020-11-23,3,Other channels: cart to checkout drop-off,channel_segment,Other channels,Other channels,<Other> / <Other>,<Other> / <Other>,add_to_cart,begin_checkout,133,109,0.8195488721804511,1.0,0.18045112781954886,24.0,9.671361502347418,0.864
2020-11-30,1,Direct traffic: shipping to payment drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_shipping_info,add_payment_info,164,50,0.3048780487804878,0.5828047921071177,0.27792674332662987,45.5799859055673,32.51776503541077,0.9869565217391304
2020-11-30,2,Other channels: shipping to payment drop-off,channel_segment,Other channels,Other channels,<Other> / <Other>,<Other> / <Other>,add_shipping_info,add_payment_info,111,25,0.22522522522522523,0.5828047921071177,0.3575795668818924,39.69133192389006,28.316669691771626,0.9695652173913043
2020-11-30,3,Google Merch Store referral traffic: cart to checkout drop-off,channel_segment,Google Merch Store referral traffic,Google Merch Store referral traffic,shop.googlemerchandisestore.com / referral,shop.googlemerchandisestore.com / referral,add_to_cart,begin_checkout,570,270,0.47368421052631576,0.5424311926605505,0.06874698213423475,39.18577981651379,16.292889423356684,0.8999999999999999
2020-12-07,1,Direct traffic: shipping to payment drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_shipping_info,add_payment_info,178,69,0.38764044943820225,0.6390644753476612,0.25142402590945895,44.7534766118837,34.173772447452244,1.0
2020-12-07,2,Direct traffic: cart to checkout drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_to_cart,begin_checkout,367,178,0.48501362397820164,0.5839793281653747,0.09896570418717304,36.32041343669252,17.72399442043402,0.9642857142857142
2020-12-07,3,Google Merch Store referral traffic: cart to checkout drop-off,channel_segment,Google Merch Store referral traffic,Google Merch Store referral traffic,shop.googlemerchandisestore.com / referral,shop.googlemerchandisestore.com / referral,add_to_cart,begin_checkout,588,310,0.5272108843537415,0.5839793281653747,0.05676844381163315,33.37984496124034,16.289026744676068,0.8857142857142857
2020-12-14,1,Other channels: cart to checkout drop-off,channel_segment,Other channels,Other channels,<Other> / <Other>,<Other> / <Other>,add_to_cart,begin_checkout,138,33,0.2391304347826087,0.4870441458733205,0.2479137110907118,34.21209213051823,18.50486559571873,0.963157894736842
2020-12-14,2,Google organic traffic: shipping to payment drop-off,channel_segment,Google organic traffic,Google organic traffic,google / organic,google / organic,add_shipping_info,add_payment_info,388,260,0.6701030927835051,0.7391732283464567,0.0690701355629516,26.799212598425186,19.59090241882214,0.9210526315789473
2020-12-14,3,Direct traffic: cart to checkout drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_to_cart,begin_checkout,256,98,0.3828125,0.4870441458733205,0.10423164587332051,26.68330134357005,14.43264279568469,0.894736842105263
2020-12-21,1,Google organic traffic: shipping to payment drop-off,channel_segment,Google organic traffic,Google organic traffic,google / organic,google / organic,add_shipping_info,add_payment_info,156,96,0.6153846153846154,0.7403846153846154,0.125,19.5,14.751623376623376,0.98
2020-12-21,2,desktop: cart to checkout drop-off,device_category,desktop,desktop,desktop,desktop,add_to_cart,begin_checkout,554,215,0.388086642599278,0.4240570846075433,0.035970442008265324,19.927624872579003,11.161386046420452,0.8133333333333334
2020-12-21,3,Direct traffic: product view to cart drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),view_item,add_to_cart,618,105,0.16990291262135923,0.23857003891050585,0.06866712628914662,42.436284046692606,10.07915818846012,0.8066666666666666
2020-12-28,1,Google organic traffic: shipping to payment drop-off,channel_segment,Google organic traffic,Google organic traffic,google / organic,google / organic,add_shipping_info,add_payment_info,104,67,0.6442307692307693,0.7318007662835249,0.08756999705275559,9.10727969348659,6.580128783775651,1.0
2020-12-28,2,desktop: payment to purchase drop-off,device_category,desktop,desktop,desktop,desktop,add_payment_info,purchase,110,75,0.6818181818181818,0.7225130890052356,0.04069490718705382,4.47643979057591,4.47643979057591,0.8545454545454545
2020-12-28,3,Other channels: product view to cart drop-off,channel_segment,Other channels,Other channels,<Other> / <Other>,<Other> / <Other>,view_item,add_to_cart,341,51,0.1495601173020528,0.21061093247588425,0.06105081517383146,20.818327974276528,4.3861515426720015,0.8454545454545455
2021-01-04,1,Google Merch Store referral traffic: cart to checkout drop-off,channel_segment,Google Merch Store referral traffic,Google Merch Store referral traffic,shop.googlemerchandisestore.com / referral,shop.googlemerchandisestore.com / referral,add_to_cart,begin_checkout,233,60,0.2575107296137339,0.3597497393117831,0.10223900969804922,23.821689259645467,11.185836695833524,1.0
2021-01-04,2,Direct traffic: product view to cart drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),view_item,add_to_cart,688,100,0.14534883720930233,0.21623449830890643,0.07088566109960409,48.769334836527634,8.2384069275469,0.8933333333333333
2021-01-04,3,Direct traffic: cart to checkout drop-off,channel_segment,Direct traffic,Direct traffic,(direct) / (none),(direct) / (none),add_to_cart,begin_checkout,100,27,0.27,0.3597497393117831,0.0897497393117831,8.974973931178312,4.214335585075033,0.8399999999999999
2021-01-11,1,Google Merch Store referral traffic: cart to checkout drop-off,channel_segment,Google Merch Store referral traffic,Google Merch Store referral traffic,shop.googlemerchandisestore.com / referral,shop.googlemerchandisestore.com / referral,add_to_cart,begin_checkout,220,70,0.3181818181818182,0.421875,0.10369318181818182,22.8125,11.28199891067538,0.98
