week_start_date,summary_type,dashboard_section,visual_sort_order,rank,issue_key,issue_status,previous_rank,rank_change,lost_purchases_change,conversion_gap_change,trend_text,issue_label,headline_text,segment_type,segment_value,segment_value_display,step_from,step_to,funnel_area,action_category,suggested_owner,evidence_metric,evidence_value,evidence_text,short_evidence_text,suggested_action,dashboard_note,priority,priority_numeric,is_latest_week
2020-10-26,top_issue,Top Issues,1.0,1,device_category | desktop | view_item | add_to_cart,New issue,,,,,No previous-week match found.,desktop: product view to cart drop-off,desktop: product view to cart drop-off,device_category,desktop,Desktop,view_item,add_to_cart,Product discovery,Product page optimisation,Product / UX,estimated_lost_purchases,0.5642458100558659,"Current conversion was 0.0% versus a weekly baseline of 0.2%, a gap of 0.2% across 303 earlier-step sessions. Estimated lost purchases: 0.6.",0.6 estimated lost purchases; 0.2% conversion gap.,"Review product-page clarity, pricing visibility, and add-to-cart prompts for Desktop.",No previous-week match found.,high,1.0,False
2020-10-26,top_issue,Top Issues,2.0,2,channel_segment | google / organic | view_item | add_to_cart,New issue,,,,,No previous-week match found.,Google organic traffic: product view to cart drop-off,Google organic traffic: product view to cart drop-off,channel_segment,google / organic,Google Organic Traffic,view_item,add_to_cart,Product discovery,Product page optimisation,Product / UX,estimated_lost_purchases,0.3240223463687151,"Current conversion was 0.0% versus a weekly baseline of 0.2%, a gap of 0.2% across 174 earlier-step sessions. Estimated lost purchases: 0.3.",0.3 estimated lost purchases; 0.2% conversion gap.,"Review product-page clarity, pricing visibility, and add-to-cart prompts for Google Organic Traffic.",No previous-week match found.,medium,2.0,False
2020-11-02,top_issue,Top Issues,1.0,1,channel_segment | google / organic | add_shipping_info | add_payment_info,New issue,,,,,No previous-week match found.,Google organic traffic: shipping to payment drop-off,Google organic traffic: shipping to payment drop-off,channel_segment,google / organic,Google Organic Traffic,add_shipping_info,add_payment_info,Shipping to payment,Cost and payment-step review,UX / Engineering,estimated_lost_purchases,13.838798317926036,"Current conversion was 37.3% versus a weekly baseline of 43.8%, a gap of 6.5% across 332 earlier-step sessions. Estimated lost purchases: 13.8.",13.8 estimated lost purchases; 6.5% conversion gap.,"Review shipping-to-payment flow, cost transparency, and payment-step messaging for Google Organic Traffic.",No previous-week match found.,high,1.0,False
2020-11-02,top_issue,Top Issues,2.0,2,channel_segment | (direct) / (none) | add_shipping_info | add_payment_info,New issue,,,,,No previous-week match found.,Direct traffic: shipping to payment drop-off,Direct traffic: shipping to payment drop-off,channel_segment,(direct) / (none),Direct Traffic,add_shipping_info,add_payment_info,Shipping to payment,Cost and payment-step review,UX / Engineering,estimated_lost_purchases,8.420448260422976,"Current conversion was 32.1% versus a weekly baseline of 43.8%, a gap of 11.7% across 112 earlier-step sessions. Estimated lost purchases: 8.4.",8.4 estimated lost purchases; 11.7% conversion gap.,"Review shipping-to-payment flow, cost transparency, and payment-step messaging for Direct Traffic.",No previous-week match found.,medium,2.0,False
2020-11-02,top_issue,Top Issues,3.0,3,device_category | mobile | add_payment_info | purchase,New issue,,,,,No previous-week match found.,mobile: payment to purchase drop-off,mobile: payment to purchase drop-off,device_category,mobile,Mobile,add_payment_info,purchase,Payment completion,Payment completion review,Engineering / Payments,estimated_lost_purchases,5.015503875969003,"Current conversion was 61.1% versus a weekly baseline of 64.3%, a gap of 3.2% across 157 earlier-step sessions. Estimated lost purchases: 5.0.",5.0 estimated lost purchases; 3.2% conversion gap.,"Review payment completion, error handling, and final confirmation friction for Mobile.",No previous-week match found.,review,3.0,False
2020-11-09,top_issue,Top Issues,1.0,1,channel_segment | (direct) / (none) | add_shipping_info | add_payment_info,Moved up in priority,2,1,14.309483940740336,0.1828202350952398,Moved up from rank 2 to rank 1.,Direct traffic: shipping to payment drop-off,Direct traffic: shipping to payment drop-off,channel_segment,(direct) / (none),Direct Traffic,add_shipping_info,add_payment_info,Shipping to payment,Cost and payment-step review,UX / Engineering,estimated_lost_purchases,22.72993220116331,"Current conversion was 20.5% versus a weekly baseline of 50.5%, a gap of 30.0% across 117 earlier-step sessions. Estimated lost purchases: 22.7.",22.7 estimated lost purchases; 30.0% conversion gap.,"Review shipping-to-payment flow, cost transparency, and payment-step messaging for Direct Traffic.",Moved up from rank 2 to rank 1.,high,1.0,False
2020-11-09,top_issue,Top Issues,2.0,2,channel_segment | google / organic | add_shipping_info | add_payment_info,Moved down in priority,1,-1,-3.5122144597416316,-0.025160284654745894,Moved down from rank 1 to rank 2.,Google organic traffic: shipping to payment drop-off,Google organic traffic: shipping to payment drop-off,channel_segment,google / organic,Google Organic Traffic,add_shipping_info,add_payment_info,Shipping to payment,Cost and payment-step review,UX / Engineering,estimated_lost_purchases,10.326583858184405,"Current conversion was 46.5% versus a weekly baseline of 50.5%, a gap of 4.0% across 402 earlier-step sessions. Estimated lost purchases: 10.3.",10.3 estimated lost purchases; 4.0% conversion gap.,"Review shipping-to-payment flow, cost transparency, and payment-step messaging for Google Organic Traffic.",Moved down from rank 1 to rank 2.,medium,2.0,False
2020-11-09,top_issue,Top Issues,3.0,3,channel_segment | google / organic | add_payment_info | purchase,New issue,,,,,No previous-week match found.,Google organic traffic: payment to purchase drop-off,Google organic traffic: payment to purchase drop-off,channel_segment,google / organic,Google Organic Traffic,add_payment_info,purchase,Payment completion,Payment completion review,Engineering / Payments,estimated_lost_purchases,7.230038022813702,"Current conversion was 61.0% versus a weekly baseline of 64.8%, a gap of 3.9% across 187 earlier-step sessions. Estimated lost purchases: 7.2.",7.2 estimated lost purchases; 3.9% conversion gap.,"Review payment completion, error handling, and final confirmation friction for Google Organic Traffic.",No previous-week match found.,review,3.0,False
2020-11-16,top_issue,Top Issues,1.0,1,channel_segment | (direct) / (none) | add_shipping_info | add_payment_info,Recurring issue,1,0,-0.4535156881634492,-0.020718697859014923,Recurring at rank 1.,Direct traffic: shipping to payment drop-off,Direct traffic: shipping to payment drop-off,channel_segment,(direct) / (none),Direct Traffic,add_shipping_info,add_payment_info,Shipping to payment,Cost and payment-step review,UX / Engineering,estimated_lost_purchases,22.276416512999862,"Current conversion was 25.8% versus a weekly baseline of 53.7%, a gap of 27.9% across 120 earlier-step sessions. Estimated lost purchases: 22.3.",22.3 estimated lost purchases; 27.9% conversion gap.,"Review shipping-to-payment flow, cost transparency, and payment-step messaging for Direct Traffic.",Recurring at rank 1.,high,1.0,False
2020-11-16,top_issue,Top Issues,2.0,2,channel_segment | google / cpc | view_item | add_to_cart,New issue,,,,,No previous-week match found.,Google paid search traffic: product view to cart drop-off,Google paid search traffic: product view to cart drop-off,channel_segment,google / cpc,Google Paid Search Traffic,view_item,add_to_cart,Product discovery,Product page optimisation,Product / UX,estimated_lost_purchases,5.9345387603195086,"Current conversion was 3.9% versus a weekly baseline of 8.0%, a gap of 4.1% across 205 earlier-step sessions. Estimated lost purchases: 5.9.",5.9 estimated lost purchases; 4.1% conversion gap.,"Review product-page clarity, pricing visibility, and add-to-cart prompts for Google Paid Search Traffic.",No previous-week match found.,medium,2.0,False
2020-11-16,top_issue,Top Issues,3.0,3,channel_segment | google / organic | view_item | add_to_cart,New issue,,,,,No previous-week match found.,Google organic traffic: product view to cart drop-off,Google organic traffic: product view to cart drop-off,channel_segment,google / organic,Google Organic Traffic,view_item,add_to_cart,Product discovery,Product page optimisation,Product / UX,estimated_lost_purchases,11.533353281297654,"Current conversion was 7.2% versus a weekly baseline of 8.0%, a gap of 0.8% across 2,153 earlier-step sessions. Estimated lost purchases: 11.5.",11.5 estimated lost purchases; 0.8% conversion gap.,"Review product-page clarity, pricing visibility, and add-to-cart prompts for Google Organic Traffic.",No previous-week match found.,review,3.0,False
2020-11-23,top_issue,Top Issues,1.0,1,channel_segment | <Other> / <Other> | add_shipping_info | add_payment_info,New issue,,,,,No previous-week match found.,Other channels: shipping to payment drop-off,Other channels: shipping to payment drop-off,channel_segment,<Other> / <Other>,Other Channels,add_shipping_info,add_payment_info,Shipping to payment,Cost and payment-step review,UX / Engineering,estimated_lost_purchases,26.051681455253597,"Current conversion was 22.9% versus a weekly baseline of 56.3%, a gap of 33.4% across 109 earlier-step sessions. Estimated lost purchases: 26.1.",26.1 estimated lost purchases; 33.4% conversion gap.,"Review shipping-to-payment flow, cost transparency, and payment-step messaging for Other Channels.",No previous-week match found.,high,1.0,False
